SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,3,Mathematics,All Students,44,22,9,6,N/A,N/A,N/A,66,15,81,54.3,27.2,11.1,7.4,N/A,N/A,N/A,81.5,18.5,1318.4,27.1,N/A,1222,1361,1305,1322,1338
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,3,ELA,All Students,43,20,8,10,N/A,N/A,N/A,63,18,81,53.1,24.7,9.9,12.3,N/A,N/A,N/A,77.8,22.2,1314.7,26.4,N/A,1245,1357,1301,1321,1333
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,4,Mathematics,All Students,31,21,25,6,N/A,N/A,N/A,52,31,83,37.3,25.3,30.1,7.2,N/A,N/A,N/A,62.7,37.3,1408.9,24.6,N/A,1310,1449,1394,1414,1429
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,4,ELA,All Students,39,26,7,12,N/A,N/A,N/A,65,19,84,46.4,31,8.3,14.3,N/A,N/A,N/A,77.4,22.6,1411.7,24,N/A,1342,1454,1401,1415,1429
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,5,ELA,All Students,38,35,10,6,N/A,N/A,N/A,73,16,89,42.7,39.3,11.2,6.7,N/A,N/A,N/A,82,18,1516.9,20.9,N/A,1452,1560,1504,1519,1532
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,5,Mathematics,All Students,33,26,23,7,N/A,N/A,N/A,59,30,89,37.1,29.2,25.8,7.9,N/A,N/A,N/A,66.3,33.7,1506.3,21.8,N/A,1427,1548,1494,1509,1522
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,5,Science,All Students,31,28,23,7,N/A,N/A,N/A,59,30,89,34.8,31.5,25.8,7.9,N/A,N/A,N/A,66.3,33.7,1508.6,22.2,N/A,1443,1564,1495,1509,1524
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,5,Social Studies,All Students,18,33,33,5,N/A,N/A,N/A,51,38,89,20.2,37.1,37.1,5.6,N/A,N/A,N/A,57.3,42.7,1502.1,20.4,N/A,1456,1551,1493,1503,1516
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,6,Mathematics,All Students,25,23,23,11,N/A,N/A,N/A,48,34,82,30.5,28,28,13.4,N/A,N/A,N/A,58.5,41.5,1602,23.2,N/A,1541,1648,1587,1608,1618
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,6,ELA,All Students,22,35,15,9,N/A,N/A,N/A,57,24,81,27.2,43.2,18.5,11.1,N/A,N/A,N/A,70.4,29.6,1609.2,27,N/A,1528,1655,1596,1612,1626
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,7,ELA,All Students,19,32,17,5,N/A,N/A,N/A,51,22,73,26,43.8,23.3,6.8,N/A,N/A,N/A,69.9,30.1,1711.3,21.6,N/A,1657,1753,1695,1713,1726
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,7,Mathematics,All Students,23,25,13,13,N/A,N/A,N/A,48,26,74,31.1,33.8,17.6,17.6,N/A,N/A,N/A,64.9,35.1,1703.1,20.5,N/A,1646,1746,1685,1706,1717
24 - 25 School Year,MI-Access,FI,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,7,Mathematics,All Students,N/A,N/A,N/A,N/A,*,*,*,*,*,<10,N/A,N/A,N/A,N/A,*,*,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
24 - 25 School Year,MI-Access,FI,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,7,ELA,All Students,N/A,N/A,N/A,N/A,*,*,*,*,*,<10,N/A,N/A,N/A,N/A,*,*,*,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,8,Social Studies,All Students,30,38,7,7,N/A,N/A,N/A,68,14,82,36.6,46.3,8.5,8.5,N/A,N/A,N/A,82.9,17.1,1822.6,25.5,N/A,1769,1879,1805,1820,1836
24 - 25 School Year,M-STEP,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,8,Science,All Students,26,35,14,7,N/A,N/A,N/A,61,21,82,31.7,42.7,17.1,8.5,N/A,N/A,N/A,74.4,25.6,1813.2,22.4,N/A,1758,1860,1798,1814,1828
24 - 25 School Year,PSAT,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,8,ELA,All Students,60,17,*,<3,N/A,N/A,N/A,77,5,82,73.2,20.7,<=5%,<=5%,N/A,N/A,N/A,93.9,6.1,517.3,95.7,N/A,N/A,N/A,N/A,N/A,N/A
24 - 25 School Year,PSAT,N/A,82,Wayne RESA,82717,Achieve Charter Academy,110,Achieve Charter Academy,82,Wayne,PSA School,Elem_Middle School,Rural: Fringe,Wayne Region,3,8,Mathematics,All Students,35,21,21,5,N/A,N/A,N/A,56,26,82,42.7,25.6,25.6,6.1,N/A,N/A,N/A,68.3,31.7,487.7,87.6,N/A,N/A,N/A,N/A,N/A,N/A